1484730974.28 :  Started fit
1484731648.14 :  Finished fit
1484731648.35 :  Started predict
Iteration:  1 / 10
Iteration:  2 / 10
Iteration:  3 / 10
Iteration:  4 / 10
Iteration:  5 / 10
Iteration:  6 / 10
Iteration:  7 / 10
Iteration:  8 / 10
Iteration:  9 / 10
Iteration:  10 / 10
1484731694.51 :  Finished predict
