{'k': 10, 'reg_penalty': 10}
Step  1900 , error  20395.2305842 , delta error  37.8997368554 , grad norm  194.53268518
Step  2000 , error  16963.3653633 , delta error  31.0350004357 , grad norm  176.035580442
Step  2100 , error  14153.0308443 , delta error  25.4151268511 , grad norm  159.301847367
Step  2200 , error  11851.5332891 , delta error  20.8140806545 , grad norm  144.162856343
Step  2300 , error  9966.6380886 , delta error  17.0469298849 , grad norm  130.466177728
Step  2400 , error  8422.84942276 , delta error  13.962369693 , grad norm  118.07406336
Step  2500 , error  7158.36687543 , delta error  11.436600853 , grad norm  106.862054851
Step  2600 , error  6122.59630907 , delta error  9.36831829463 , grad norm  96.717700783
Step  2700 , error  5274.11438949 , delta error  7.67461056034 , grad norm  87.539374376
Step  2800 , error  4579.00415789 , delta error  6.2876073838 , grad norm  79.2351913201
Step  2900 , error  4009.49382586 , delta error  5.151741197 , grad norm  71.7220312922
Step  3000 , error  3542.84319543 , delta error  4.22151121012 , grad norm  64.92466489
Step  3100 , error  3160.43226269 , delta error  3.45965755493 , grad norm  58.7749818354
Step  3200 , error  2847.01498044 , delta error  2.83566912968 , grad norm  53.2113099757
Step  3300 , error  2590.1080663 , delta error  2.32456280325 , grad norm  48.177811029
Step  3400 , error  2379.49035566 , delta error  1.90588358911 , grad norm  43.6239391437
Step  3500 , error  2206.79272383 , delta error  1.56288523801 , grad norm  39.5039510167
Step  3600 , error  2065.16224479 , delta error  1.28185854314 , grad norm  35.7764597197
Step  3700 , error  1948.98720138 , delta error  1.05158080968 , grad norm  32.4040271853
Step  3800 , error  1853.67196208 , delta error  0.862864790822 , grad norm  29.3527920567
Step  3900 , error  1775.45270672 , delta error  0.708189268708 , grad norm  26.5921304385
Step  4000 , error  1711.24660116 , delta error  0.581396609978 , grad norm  24.0943473485
Step  4100 , error  1658.52835308 , delta error  0.477445218605 , grad norm  21.8343966946
Step  4200 , error  1615.22917687 , delta error  0.3922069542 , grad norm  19.7896275639
Step  4300 , error  1579.65409631 , delta error  0.32230136055 , grad norm  17.9395546169
Step  4400 , error  1550.41425293 , delta error  0.264960017323 , grad norm  16.2656504436
Step  4500 , error  1526.37149335 , delta error  0.217915537675 , grad norm  14.7511578492
Step  4600 , error  1506.59300496 , delta error  0.179310728812 , grad norm  13.3809201809
Step  4700 , error  1490.31417484 , delta error  0.14762424788 , grad norm  12.1412279633
Step  4800 , error  1476.9081792 , delta error  0.121609753372 , grad norm  11.0196802647
Step  4900 , error  1465.86108142 , delta error  0.100246098461 , grad norm  10.0050593685
Step  5000 , error  1456.75143956 , delta error  0.0826965595188 , grad norm  9.08721745959
Step  5001 , error  1456.75143956 , delta error  0.0826965595188 , grad norm  9.08721745959
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 1.02%
[0.00074750830564784061, 0.00050960847701149426]
Step  100 , error  700711.055513 , delta error  1434.50830577 , grad norm  1196.69037219
Step  200 , error  572037.402048 , delta error  1155.42500874 , grad norm  1074.06234842
Step  300 , error  467803.062367 , delta error  939.712252697 , grad norm  968.64430749
Step  400 , error  382872.506628 , delta error  766.767938191 , grad norm  874.988060049
Step  500 , error  313519.23001 , delta error  626.526158594 , grad norm  790.935912087
Step  600 , error  256829.382186 , delta error  512.289920008 , grad norm  715.204783869
Step  700 , error  210466.450227 , delta error  419.043671935 , grad norm  646.848571212
Step  800 , error  172537.78664 , delta error  342.849694337 , grad norm  585.093352112
Step  900 , error  141503.157603 , delta error  280.55288706 , grad norm  529.274363606
Step  1000 , error  116106.180154 , delta error  229.600914638 , grad norm  478.80695647
Step  1100 , error  95320.6980917 , delta error  187.918994619 , grad norm  433.170744312
Step  1200 , error  78307.970658 , delta error  153.816080102 , grad norm  391.899556113
Step  1300 , error  64382.1350855 , delta error  125.911741754 , grad norm  354.574211038
Step  1400 , error  52982.1922243 , delta error  103.077937 , grad norm  320.8167415
Step  1500 , error  43649.2210441 , delta error  84.3920704757 , grad norm  290.28535189
Step  1600 , error  36007.8207015 , delta error  69.0989754693 , grad norm  262.66984535
Step  1700 , error  29750.9717831 , delta error  56.5802702396 , grad norm  237.687847847
Step  1800 , error  24627.6361565 , delta error  46.3299894002 , grad norm  215.082730499
Step  1900 , error  20432.5290623 , delta error  37.9351901356 , grad norm  194.623591207
Step  2000 , error  16997.6562322 , delta error  31.0596934624 , grad norm  176.105471065
Step  2100 , error  14185.3837781 , delta error  25.4295596106 , grad norm  159.346921695
