{'k': 10, 'reg_penalty': 10}
Step  4000 , error  1300.73230038 , delta error  1.14806746926 , grad norm  33.8578329866
Step  4100 , error  1196.74321708 , delta error  0.940679972801 , grad norm  30.6476022626
Step  4200 , error  1111.53613213 , delta error  0.770804598184 , grad norm  27.7426415536
Step  4300 , error  1041.71408858 , delta error  0.631650208324 , grad norm  25.113896527
Step  4400 , error  984.495066465 , delta error  0.517655922764 , grad norm  22.7350805728
Step  4500 , error  937.60058944 , delta error  0.424268132451 , grad norm  20.5824109572
Step  4600 , error  899.164520578 , delta error  0.347757949095 , grad norm  18.6343701496
Step  4700 , error  867.65838652 , delta error  0.28507175393 , grad norm  16.871489921
Step  4800 , error  841.830233295 , delta error  0.2337088419 , grad norm  15.2761560379
Step  4900 , error  820.654560611 , delta error  0.191621246815 , grad norm  13.8324315854
Step  5000 , error  803.291326387 , delta error  0.157131724724 , grad norm  12.5258971405
Step  5001 , error  803.291326387 , delta error  0.157131724724 , grad norm  12.5258971405
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 17.35%
[2.7685492801771873e-05, 0.0008508441091954023]
Step  100 , error  1399895.48775 , delta error  2839.60863882 , grad norm  1683.76554245
Step  200 , error  1144032.89062 , delta error  2304.90671197 , grad norm  1517.02284399
Step  300 , error  935777.154147 , delta error  1879.81211162 , grad norm  1370.02040772
Step  400 , error  765760.498283 , delta error  1535.85896815 , grad norm  1238.36124654
Step  500 , error  626790.04789 , delta error  1255.86564335 , grad norm  1119.80962799
Step  600 , error  513128.553822 , delta error  1027.35128048 , grad norm  1012.82076326
Step  700 , error  420136.745098 , delta error  840.618939933 , grad norm  916.163524995
Step  800 , error  344041.332293 , delta error  687.928271611 , grad norm  828.791293725
Step  900 , error  281764.842621 , delta error  563.026309816 , grad norm  749.78728888
Step  1000 , error  230793.6844 , delta error  460.832359804 , grad norm  678.336683452
Step  1100 , error  189073.177058 , delta error  377.205800573 , grad norm  613.709816638
Step  1200 , error  154922.971847 , delta error  308.766536287 , grad norm  555.250626607
Step  1300 , error  126968.453497 , delta error  252.752642774 , grad norm  502.367857086
Step  1400 , error  104084.903131 , delta error  206.905991422 , grad norm  454.527921869
Step  1500 , error  85351.9547846 , delta error  169.379674347 , grad norm  411.248872378
Step  1600 , error  70016.4021316 , delta error  138.662759041 , grad norm  372.095167816
Step  1700 , error  57461.8013375 , delta error  113.518975178 , grad norm  336.673070636
Step  1800 , error  47183.6161696 , delta error  92.9366770582 , grad norm  304.6265536
Step  1900 , error  38768.8884445 , delta error  76.0879684311 , grad norm  275.63363956
Step  2000 , error  31879.6063901 , delta error  62.2952910051 , grad norm  249.403115533
Step  2100 , error  26239.0963469 , delta error  51.0041025347 , grad norm  225.671575322
Step  2200 , error  21620.8871289 , delta error  41.7605284372 , grad norm  204.200753415
Step  2300 , error  17839.5971322 , delta error  34.1930781832 , grad norm  184.775118809
Step  2400 , error  14743.4763971 , delta error  27.9976852393 , grad norm  167.199701813
Step  2500 , error  12208.3028546 , delta error  22.9254653323 , grad norm  151.298130298
Step  2600 , error  10132.386729 , delta error  18.7726984686 , grad norm  136.910854595
Step  2700 , error  8432.48181814 , delta error  15.3726303784 , grad norm  123.893542506
Step  2800 , error  7040.43896141 , delta error  12.5887627175 , grad norm  112.115627859
Step  2900 , error  5900.46693081 , delta error  10.3093615407 , grad norm  101.458997675
Step  3000 , error  4966.89046302 , delta error  8.44296275981 , grad norm  91.81680457
Step  3100 , error  4202.31517988 , delta error  6.91469352974 , grad norm  83.0923922966
Step  3200 , error  3576.12553362 , delta error  5.6632614079 , grad norm  75.1983235804
Step  3300 , error  3063.2553242 , delta error  4.63849005026 , grad norm  68.0555004763
Step  3400 , error  2643.18131153 , delta error  3.79930222406 , grad norm  61.5923684458
Step  3500 , error  2299.09942689 , delta error  3.11206893305 , grad norm  55.7441962299
Step  3600 , error  2017.25043975 , delta error  2.54925819195 , grad norm  50.4524243577
Step  3700 , error  1786.36795292 , delta error  2.08832905024 , grad norm  45.6640758167
Step  3800 , error  1597.22652387 , delta error  1.71082633956 , grad norm  41.331223015
Step  3900 , error  1442.27174111 , delta error  1.40163970133 , grad norm  37.4105057042
Step  4000 , error  1315.31738361 , delta error  1.14839706734 , grad norm  33.8626950249
Step  4100 , error  1211.29749146 , delta error  0.940968182729 , grad norm  30.6522992751
Step  4200 , error  1126.06338566 , delta error  0.771058193506 , grad norm  27.7472074099
Step  4300 , error  1056.21748369 , delta error  0.631874949954 , grad norm  25.1183666536
Step  4400 , error  998.977237008 , delta error  0.517856646575 , grad norm  22.739490945
Step  4500 , error  952.063728207 , delta error  0.424448849471 , grad norm  20.5867972507
Step  4600 , error  913.610456482 , delta error  0.347921950529 , grad norm  18.6387670661
Step  4700 , error  882.088651315 , delta error  0.285221714811 , grad norm  16.8759306844
Step  4800 , error  856.246118192 , delta error  0.2338469189 , grad norm  15.2806720458
Step  4900 , error  835.057163531 , delta error  0.191749167347 , grad norm  13.8370521974
Step  5000 , error  817.681590818 , delta error  0.157250865804 , grad norm  12.5306495783
Step  5001 , error  817.681590818 , delta error  0.157250865804 , grad norm  12.5306495783
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 17.86%
[2.7685492801771873e-05, 0.0008508441091954023, 0.000221606648199446]
Step  100 , error  1400054.77482 , delta error  2842.71403567 , grad norm  1684.68092876
Step  200 , error  1143996.51968 , delta error  2306.02894473 , grad norm  1517.38971949
Step  300 , error  935673.819508 , delta error  1880.15638567 , grad norm  1370.14475833
Step  400 , error  765640.748424 , delta error  1535.89221181 , grad norm  1238.37409037
Step  500 , error  626674.248439 , delta error  1255.77392258 , grad norm  1119.76842496
Step  600 , error  513024.633558 , delta error  1027.21441075 , grad norm  1012.75310896
Step  700 , error  420047.179993 , delta error  840.472658551 , grad norm  916.083691065
Step  800 , error  343966.147425 , delta error  687.788566125 , grad norm  828.707056388
Step  900 , error  281702.99171 , delta error  562.899838847 , grad norm  749.703020329
Step  1000 , error  230743.710924 , delta error  460.721251441 , grad norm  678.254866938
Step  1100 , error  189033.536068 , delta error  377.109984627 , grad norm  613.631839511
Step  1200 , error  154892.183854 , delta error  308.684920803 , grad norm  555.177218505
Step  1300 , error  126945.172751 , delta error  252.683719917 , grad norm  502.299343112
Step  1400 , error  104067.941692 , delta error  206.848150184 , grad norm  454.464374431
Step  1500 , error  85340.2839443 , delta error  169.331358308 , grad norm  411.190205205
Step  1600 , error  70009.142701 , delta error  138.622540798 , grad norm  372.041195845
Step  1700 , error  57458.2089895 , delta error  113.485585717 , grad norm  336.623549194
Step  1800 , error  47183.0651935 , delta error  92.9090110146 , grad norm  304.581204721
Step  1900 , error  38770.8556754 , delta error  76.0650768251 , grad norm  275.59217015
Step  2000 , error  31883.6562098 , delta error  62.2763679627 , grad norm  249.365230233
Step  2100 , error  26244.8671554 , delta error  50.9884695923 , grad norm  225.636985823
Step  2200 , error  21628.07942 , delta error  41.7476184204 , grad norm  204.169185262
Step  2300 , error  17847.9631544 , delta error  34.1824197113 , grad norm  184.746316283
Step  2400 , error  14752.8113096 , delta error  27.9888883907 , grad norm  167.173431227
Step  2500 , error  12218.4372467 , delta error  22.9182087094 , grad norm  151.274181861
Step  2600 , error  10143.1803584 , delta error  18.7667177444 , grad norm  136.889042942
Step  2700 , error  8443.81841978 , delta error  15.3677083196 , grad norm  123.873705999
Step  2800 , error  7052.22198191 , delta error  12.5847206314 , grad norm  112.097626792
Step  2900 , error  5912.61604917 , delta error  10.3060520622 , grad norm  101.442711597
Step  3000 , error  4979.33876959 , delta error  8.44026387403 , grad norm  91.8021289995
Step  3100 , error  4215.00689588 , delta error  6.91250370347 , grad norm  83.0792351309
Step  3200 , error  3589.01416721 , delta error  5.66149569301 , grad norm  75.1866015346
Step  3300 , error  3076.30217347 , delta error  4.63707701046 , grad norm  68.045135829
Step  3400 , error  2656.35423934 , delta error  3.79818153779 , grad norm  61.5832863184
Step  3500 , error  2312.37184735 , delta error  3.11118953208 , grad norm  55.7363225346
Step  3600 , error  2030.60046912 , delta error  2.54857680988 , grad norm  50.4456844609
Step  3700 , error  1799.77768953 , delta error  2.0878090748 , grad norm  45.658393884
Step  3800 , error  1610.68143112 , delta error  1.71043688409 , grad norm  41.3265219403
Step  3900 , error  1455.76011503 , delta error  1.40135483196 , grad norm  37.4067074918
Step  4000 , error  1328.82989178 , delta error  1.14819514152 , grad norm  33.8597214786
Step  4100 , error  1224.82677371 , delta error  0.940831269643 , grad norm  30.6500728554
Step  4200 , error  1139.60370946 , delta error  0.770971558587 , grad norm  27.7456521417
Step  4300 , error  1069.76444822 , delta error  0.63182659319 , grad norm  25.117408992
Step  4400 , error  1012.52752096 , delta error  0.517836889143 , grad norm  22.7390605371
Step  4500 , error  965.614876661 , delta error  0.42444996561 , grad norm  20.5868275571
Step  4600 , error  927.160702335 , delta error  0.347937842521 , grad norm  18.6391958275
Step  4700 , error  895.636767162 , delta error  0.285247629031 , grad norm  16.8767002349
Step  4800 , error  869.791294608 , delta error  0.233879200529 , grad norm  15.2817294873
Step  4900 , error  848.598910058 , delta error  0.19178505092 , grad norm  13.8383494521
Step  5000 , error  831.219656215 , delta error  0.157288298366 , grad norm  12.532143344
Step  5001 , error  831.219656215 , delta error  0.157288298366 , grad norm  12.532143344
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 18.37%
[2.7685492801771873e-05, 0.0008508441091954023, 0.000221606648199446, 5.9490611637850896e-05]
Result:  result(mean_score=0.00028990671545861779, std_dev=0.0003321020962713942, parameters={'k': 20, 'reg_penalty': 20})
{'k': 20, 'reg_penalty': 50}
Step  100 , error  1399066.0657 , delta error  2816.61271687 , grad norm  1676.9951748
Step  200 , error  1144423.25817 , delta error  2299.5241105 , grad norm  1515.26892096
Step  300 , error  936405.342208 , delta error  1879.41382155 , grad norm  1369.88207987
Step  400 , error  766338.490581 , delta error  1536.94277812 , grad norm  1238.80093844
Step  500 , error  627236.748855 , delta error  1257.30172454 , grad norm  1120.45097273
Step  600 , error  513431.445779 , delta error  1028.75747842 , grad norm  1013.51429783
Step  700 , error  420306.186976 , delta error  841.873725642 , grad norm  916.847363621
Step  800 , error  344094.253145 , delta error  689.005198747 , grad norm  829.439936601
Step  900 , error  281718.787682 , delta error  563.933240087 , grad norm  750.391030806
Step  1000 , error  230664.74073 , delta error  461.588193336 , grad norm  678.892801478
Step  1100 , error  188875.39381 , delta error  377.831504324 , grad norm  614.218644956
Step  1200 , error  154668.34917 , delta error  309.281835346 , grad norm  555.713773715
Step  1300 , error  126667.130416 , delta error  253.174984639 , grad norm  502.787398612
Step  1400 , error  103745.396758 , delta error  207.250405311 , grad norm  454.906047573
Step  1500 , error  84981.3942097 , delta error  169.658956616 , grad norm  411.587745208
Step  1600 , error  69620.7379102 , delta error  138.887751749 , grad norm  372.396879665
Step  1700 , error  57045.9865785 , delta error  113.698846699 , grad norm  336.939639223
Step  1800 , error  46751.7609156 , delta error  93.0791734622 , grad norm  304.859933939
Step  1900 , error  38324.3907337 , delta error  76.1996287159 , grad norm  275.83573783
Step  2000 , error  31425.2635419 , delta error  62.3816284559 , grad norm  249.575800288
Step  2100 , error  25777.199616 , delta error  51.0697571704 , grad norm  225.816684473
Step  2200 , error  21153.3023566 , delta error  41.8093956513 , grad norm  204.320097011
Step  2300 , error  17367.8335474 , delta error  34.2284179664 , grad norm  184.870478289
Step  2400 , error  14268.7453244 , delta error  28.0222154869 , grad norm  167.272826574
Step  2500 , error  11731.5677775 , delta error  22.9414419587 , grad norm  151.350732375
Step  2600 , error  9654.40591729 , delta error  18.7819844377 , grad norm  136.944602128
Step  2700 , error  7953.84454036 , delta error  15.3767553063 , grad norm  123.91005257
Step  2800 , error  6561.59615616 , delta error  12.5889743743 , grad norm  112.116459108
Step  2900 , error  5421.75709008 , delta error  10.306670342 , grad norm  101.445643224
Step  3000 , error  4488.56138154 , delta error  8.43818015683 , grad norm  91.7906854662
Step  3100 , error  3724.54214057 , delta error  6.90846506843 , grad norm  83.0548519103
Step  3200 , error  3099.02642801 , delta error  5.65609511757 , grad norm  75.1506231734
Step  3300 , error  2586.90314569 , delta error  4.63078072938 , grad norm  67.9988161398
Step  3400 , error  2167.61440601 , delta error  3.7913521192 , grad norm  61.5277895072
Step  3500 , error  1824.32983902 , delta error  3.10410524765 , grad norm  55.672725128
Step  3600 , error  1543.27065184 , delta error  2.54144781475 , grad norm  50.3749778964
Step  3700 , error  1313.15627636 , delta error  2.0807908554 , grad norm  45.5814876271
Step  3800 , error  1124.75136964 , delta error  1.70364137849 , grad norm  41.2442470057
Step  3900 , error  970.494965063 , delta error  1.39485957796 , grad norm  37.3198202553
Step  4000 , error  844.19687476 , delta error  1.14205076201 , grad norm  33.768907679
Step  4100 , error  740.789145982 , delta error  0.935067563326 , grad norm  30.5559517021
Step  4200 , error  656.122587053 , delta error  0.765602426908 , grad norm  27.6487804537
Step  4300 , error  586.800189261 , delta error  0.62685400091 , grad norm  25.0182853085
Step  4400 , error  530.040753647 , delta error  0.513254026449 , grad norm  22.6381291519
Step  4500 , error  483.567245205 , delta error  0.420243753841 , grad norm  20.4844824365
Step  4600 , error  445.51539042 , delta error  0.344090903032 , grad norm  18.5357843842
Step  4700 , error  414.358847292 , delta error  0.281739815233 , grad norm  16.7725269347
Step  4800 , error  388.847942749 , delta error  0.230688776469 , grad norm  15.1770592741
Step  4900 , error  367.959517302 , delta error  0.188889585471 , grad norm  13.7334109822
Step  5000 , error  350.855862939 , delta error  0.154665332042 , grad norm  12.4271320238
Step  5001 , error  350.855862939 , delta error  0.154665332042 , grad norm  12.4271320238
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 18.88%
[0.0]
Step  100 , error  1399118.52494 , delta error  2817.41126861 , grad norm  1677.2317748
Step  200 , error  1144422.13294 , delta error  2299.86055751 , grad norm  1515.37917908
Step  300 , error  936382.744386 , delta error  1879.53588203 , grad norm  1369.92623923
Step  400 , error  766309.395607 , delta error  1536.96423953 , grad norm  1238.80939786
Step  500 , error  627208.157855 , delta error  1257.2767952 , grad norm  1120.43974808
Step  600 , error  513406.488778 , delta error  1028.71301363 , grad norm  1013.49232019
Step  700 , error  420286.057177 , delta error  841.82326333 , grad norm  916.819836327
Step  800 , error  344079.169734 , delta error  688.955484727 , grad norm  829.409980146
Step  900 , error  281708.494201 , delta error  563.887451528 , grad norm  750.360544337
Step  1000 , error  230658.768796 , delta error  461.547608808 , grad norm  678.862940743
Step  1100 , error  188873.203232 , delta error  377.796399322 , grad norm  614.190100411
Step  1200 , error  154669.401052 , delta error  309.251973263 , grad norm  555.68693877
Step  1300 , error  126670.923303 , delta error  253.149888712 , grad norm  502.762474664
Step  1400 , error  103751.482321 , delta error  207.229508809 , grad norm  454.883111268
Step  1500 , error  84989.3817111 , delta error  169.641684132 , grad norm  411.566792389
Step  1600 , error  69630.2927105 , delta error  138.87356112 , grad norm  372.377854536
Step  1700 , error  57056.8256922 , delta error  113.687248444 , grad norm  336.922453939
Step  1800 , error  46763.6473253 , delta error  93.0697375105 , grad norm  304.84448185
Step  1900 , error  38337.1274206 , delta error  76.1919841583 , grad norm  275.821902475
Step  2000 , error  31438.6877445 , delta error  62.3754596726 , grad norm  249.563461492
Step  2100 , error  25791.1775726 , delta error  51.0647982927 , grad norm  225.805722455
Step  2200 , error  21167.724636 , delta error  41.8054244871 , grad norm  204.3103951
Step  2300 , error  17382.6109857 , delta error  34.2252500097 , grad norm  184.861924684
Step  2400 , error  14283.8055425 , delta error  28.0196983424 , grad norm  167.265315421
Step  2500 , error  11746.8522284 , delta error  22.9394503283 , grad norm  151.344164368
Step  2600 , error  9669.86740345 , delta error  18.7804157167 , grad norm  136.938884782
Step  2700 , error  7969.4451415 , delta error  15.3755257789 , grad norm  123.905100258
Step  2800 , error  6577.30550884 , delta error  12.5880159662 , grad norm  112.112192938
Step  2900 , error  5437.55096617 , delta error  10.3059278735 , grad norm  101.441990812
Step  3000 , error  4504.42051856 , delta error  8.43760903797 , grad norm  91.7875806373
Step  3100 , error  3740.4512828 , delta error  6.90802937543 , grad norm  83.0522343569
Step  3200 , error  3114.97354302 , delta error  5.6557659961 , grad norm  75.1484380909
Step  3300 , error  2602.87878619 , delta error  4.63053507475 , grad norm  67.9970138531
Step  3400 , error  2183.61119148 , delta error  3.79117148959 , grad norm  61.5263250984
Step  3500 , error  1840.342036 , delta error  3.10397497226 , grad norm  55.6715580719
Step  3600 , error  1559.29383485 , delta error  2.54135626417 , grad norm  50.3740717088
Step  3700 , error  1329.18705491 , delta error  2.08072884638 , grad norm  45.5808095299
Step  3800 , error  1140.78716881 , delta error  1.70360168968 , grad norm  41.243767609
Step  3900 , error  986.533849942 , delta error  1.39483655701 , grad norm  37.3195132596
Step  4000 , error  860.237410099 , delta error  1.14204000748 , grad norm  33.7687495968
Step  4100 , error  756.830284558 , delta error  0.935065667967 , grad norm  30.5559215987
Step  4200 , error  672.163581063 , delta error  0.765606770902 , grad norm  27.6488597076
Step  4300 , error  602.840520271 , delta error  0.626862585767 , grad norm  25.0184573906
Step  4400 , error  546.080077424 , delta error  0.513265341974 , grad norm  22.6383794213
Step  4500 , error  499.605348458 , delta error  0.42025667184 , grad norm  20.4847979547
Step  4600 , error  461.552157033 , delta error  0.344104592645 , grad norm  18.5361537439
Step  4700 , error  430.394232118 , delta error  0.281753675707 , grad norm  16.7729401041
Step  4800 , error  404.881951391 , delta error  0.230702383941 , grad norm  15.177507455
Step  4900 , error  383.992190626 , delta error  0.188902651009 , grad norm  13.7338864807
Step  5000 , error  366.887265313 , delta error  0.154677668685 , grad norm  12.4276281331
Step  5001 , error  366.887265313 , delta error  0.154677668685 , grad norm  12.4276281331
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 19.39%
[0.0, 0.0]
Step  100 , error  1399119.26255 , delta error  2817.4478603 , grad norm  1677.24197946
Step  200 , error  1144427.00897 , delta error  2299.79111033 , grad norm  1515.35626146
Step  300 , error  936393.787203 , delta error  1879.48627237 , grad norm  1369.90820877
Step  400 , error  766324.059814 , delta error  1536.94003916 , grad norm  1238.79969524
Step  500 , error  627224.306193 , delta error  1257.26972683 , grad norm  1120.43663743
Step  600 , error  513422.79728 , delta error  1028.71577583 , grad norm  1013.49370885
Step  700 , error  420301.806604 , delta error  841.831005399 , grad norm  916.824071814
Step  800 , error  344094.023635 , delta error  688.965264873 , grad norm  829.415880615
Step  900 , error  281722.341993 , delta error  563.897586419 , grad norm  750.367296664
Step  1000 , error  230671.625505 , delta error  461.557197569 , grad norm  678.869998537
Step  1100 , error  188885.148156 , delta error  377.805011882 , grad norm  614.197105043
Step  1200 , error  154680.541348 , delta error  309.259454371 , grad norm  555.693662371
Step  1300 , error  126681.373101 , delta error  253.156237108 , grad norm  502.768779921
Step  1400 , error  103761.351338 , delta error  207.234803851 , grad norm  454.888923223
Step  1500 , error  84998.7695948 , delta error  169.646042014 , grad norm  411.572078655
Step  1600 , error  69639.2867565 , delta error  138.877109425 , grad norm  372.382611385
Step  1700 , error  57065.5004941 , delta error  113.690111973 , grad norm  336.926696494
Step  1800 , error  46772.0654656 , delta error  93.0720309775 , grad norm  304.848237171
Step  1900 , error  38345.3406668 , delta error  76.1938089837 , grad norm  275.82520469
Step  2000 , error  31446.7384345 , delta error  62.3769031751 , grad norm  249.566348391
Step  2100 , error  25799.1000062 , delta error  51.0659342072 , grad norm  225.808233125
Step  2200 , error  21175.5463767 , delta error  41.8063141594 , grad norm  204.312568323
Step  2300 , error  17390.3540263 , delta error  34.2259438767 , grad norm  184.863797868
Step  2400 , error  14291.487318 , delta error  28.0202374671 , grad norm  167.26692393
Step  2500 , error  11754.4864786 , delta error  22.9398678638 , grad norm  151.345541128
Step  2600 , error  9677.46489559 , delta error  18.7807382352 , grad norm  136.940060089
Step  2700 , error  7977.0142682 , delta error  15.3757744381 , grad norm  123.906101719
Step  2800 , error  6584.85277738 , delta error  12.5882075108 , grad norm  112.113045518
Step  2900 , error  5445.08139599 , delta error  10.3060754804 , grad norm  101.442716936
Step  3000 , error  4511.9379614 , delta error  8.43772301907 , grad norm  91.7882003364
Step  3100 , error  3747.95867898 , delta error  6.90811775707 , grad norm  83.0527654372
Step  3200 , error  3122.47312534 , delta error  5.65583499148 , grad norm  75.1488963133
Step  3300 , error  2610.37224119 , delta error  4.63058946665 , grad norm  67.9974131152
Step  3400 , error  2191.09978645 , delta error  3.79121493817 , grad norm  61.5266776129
Step  3500 , error  1847.82671826 , delta error  3.10401026119 , grad norm  55.6718745379
Step  3600 , error  1566.77530921 , delta error  2.54138549635 , grad norm  50.374361473
Step  3700 , error  1336.66584357 , delta error  2.08075359879 , grad norm  45.5810807362
Step  3800 , error  1148.26365759 , delta error  1.70362313529 , grad norm  41.2440273372
Step  3900 , error  994.008323623 , delta error  1.39485556028 , grad norm  37.3197676509
Step  4000 , error  867.710079395 , delta error  1.14205719885 , grad norm  33.7690039684
Step  4100 , error  764.301306457 , delta error  0.93508150166 , grad norm  30.5561805469
Step  4200 , error  679.633074101 , delta error  0.765621569518 , grad norm  27.6491272003
Step  4300 , error  610.30857589 , delta error  0.626876574553 , grad norm  25.0187368501
Step  4400 , error  553.546768325 , delta error  0.513278674966 , grad norm  22.6386737982
Step  4500 , error  507.070734677 , delta error  0.420269451696 , grad norm  20.4851097932
Step  4600 , error  469.016290289 , delta error  0.344116885564 , grad norm  18.5364852403
Step  4700 , error  437.857158866 , delta error  0.281765522568 , grad norm  16.7732931579
Step  4800 , error  412.343714922 , delta error  0.23071380854 , grad norm  15.1778837141
Step  4900 , error  391.452832452 , delta error  0.188913666063 , grad norm  13.7342873814
Step  5000 , error  374.346826044 , delta error  0.154688280162 , grad norm  12.4280549354
Step  5001 , error  374.346826044 , delta error  0.154688280162 , grad norm  12.4280549354
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 19.90%
[0.0, 0.0, 0.0]
Step  100 , error  1399210.03621 , delta error  2818.59478143 , grad norm  1677.58247926
Step  200 , error  1144432.16716 , delta error  2300.3945797 , grad norm  1515.55429424
Step  300 , error  936356.867355 , delta error  1879.76007596 , grad norm  1370.00748493
Step  400 , error  766269.659951 , delta error  1537.0364952 , grad norm  1238.83824541
Step  500 , error  627165.402869 , delta error  1257.27460219 , grad norm  1120.43860106
Step  600 , error  513365.950171 , delta error  1028.67584733 , grad norm  1013.47390118
Step  700 , error  420250.085317 , delta error  841.771652684 , grad norm  916.791657005
Step  800 , error  344048.610579 , delta error  688.900126676 , grad norm  829.376605804
Step  900 , error  281683.415964 , delta error  563.833792192 , grad norm  750.324804503
Step  1000 , error  230638.853434 , delta error  461.498241682 , grad norm  678.826607232
Step  1100 , error  188857.959809 , delta error  377.752361286 , grad norm  614.154282619
Step  1200 , error  154658.281725 , delta error  309.213461556 , grad norm  555.652322164
Step  1300 , error  126663.38505 , delta error  253.116663604 , grad norm  502.729468939
Step  1400 , error  103747.018063 , delta error  207.201121146 , grad norm  454.851944679
Step  1500 , error  84987.5341799 , delta error  169.617603341 , grad norm  411.537573069
Step  1600 , error  69630.6586598 , delta error  138.853245869 , grad norm  372.350611048
Step  1700 , error  57059.0548804 , delta error  113.670184006 , grad norm  336.897162461
Step  1800 , error  46767.4388235 , delta error  93.0554538104 , grad norm  304.821084612
Step  1900 , error  38342.2247279 , delta error  76.1800627111 , grad norm  275.800320355
Step  2000 , error  31444.873557 , delta error  62.3655342807 , grad norm  249.543602675
Step  2100 , error  25798.2686682 , delta error  51.0565523957 , grad norm  225.787488393
Step  2200 , error  21175.5671193 , delta error  41.7985868725 , grad norm  204.293684619
Step  2300 , error  17391.0759991 , delta error  34.2195898884 , grad norm  184.846636781
Step  2400 , error  14292.7854772 , delta error  28.0150203576 , grad norm  167.251351166
Step  2500 , error  11756.2574235 , delta error  22.93558981 , grad norm  151.331428158
Step  2600 , error  9679.62330034 , delta error  18.7772343374 , grad norm  136.927285142
Step  2700 , error  7979.48984987 , delta error  15.3729076711 , grad norm  123.894550321
Step  2800 , error  6587.58773661 , delta error  12.585864311 , grad norm  112.102610698
Step  2900 , error  5448.02826785 , delta error  10.3041619395 , grad norm  101.433299215
Step  3000 , error  4515.05781844 , delta error  8.43616163311 , grad norm  91.7797075591
Step  3100 , error  3751.21963388 , delta error  6.90684466967 , grad norm  83.045112502
Step  3200 , error  3125.84908681 , delta error  5.65479767083 , grad norm  75.1420048386
Step  3300 , error  2613.84188284 , delta error  4.62974475667 , grad norm  67.9912110683
Step  3400 , error  2194.64569387 , delta error  3.79052743003 , grad norm  61.5210989189
Step  3500 , error  1851.43468492 , delta error  3.10345093672 , grad norm  55.6668586849
Step  3600 , error  1570.43375605 , delta error  2.54093060096 , grad norm  50.3698531209
Step  3700 , error  1340.36534127 , delta error  2.08038370723 , grad norm  45.5770293364
Step  3800 , error  1151.99653395 , delta error  1.70332237873 , grad norm  41.2403867678
Step  3900 , error  997.768341113 , delta error  1.39461098792 , grad norm  37.3164958696
Step  4000 , error  871.492170829 , delta error  1.14185825153 , grad norm  33.7660626845
Step  4100 , error  768.101358408 , delta error  0.934919578315 , grad norm  30.5535349137
Step  4200 , error  683.447749685 , delta error  0.765489670621 , grad norm  27.6467455276
Step  4300 , error  614.135169882 , delta error  0.626769009188 , grad norm  25.0165903363
Step  4400 , error  557.383088839 , delta error  0.513190820441 , grad norm  22.6367362821
Step  4500 , error  510.915006619 , delta error  0.420197556475 , grad norm  20.4833575235
Step  4600 , error  472.867076659 , delta error  0.344057907887 , grad norm  18.5348966633
Step  4700 , error  441.713296677 , delta error  0.281716998401 , grad norm  16.7718487215
Step  4800 , error  416.20426305 , delta error  0.230673743647 , grad norm  15.1765656877
Step  4900 , error  395.317029263 , delta error  0.188880447871 , grad norm  13.7330796899
Step  5000 , error  378.21405498 , delta error  0.154660605847 , grad norm  12.4269430066
Step  5001 , error  378.21405498 , delta error  0.154660605847 , grad norm  12.4269430066
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 20.41%
[0.0, 0.0, 0.0, 0.0]
Result:  result(mean_score=0.0, std_dev=0.0, parameters={'k': 20, 'reg_penalty': 50})
{'k': 20, 'reg_penalty': 100}
Step  100 , error  1398582.56952 , delta error  2808.37783875 , grad norm  1674.55545636
Step  200 , error  1144468.72522 , delta error  2296.37800837 , grad norm  1514.23825847
Step  300 , error  936642.542475 , delta error  1878.40827434 , grad norm  1369.51875347
Step  400 , error  766622.873402 , delta error  1536.86721447 , grad norm  1238.77222802
Step  500 , error  627505.93964 , delta error  1257.61859024 , grad norm  1120.59315612
Step  600 , error  513660.318319 , delta error  1029.21810338 , grad norm  1013.74177536
Step  700 , error  420486.97193 , delta error  842.361843321 , grad norm  917.113493046
Step  800 , error  344227.231977 , delta error  689.467881107 , grad norm  829.718621711
Step  900 , error  281807.785177 , delta error  564.348615627 , grad norm  750.667491136
Step  1000 , error  230714.905081 , delta error  461.949712063 , grad norm  679.158705981
Step  1100 , error  188892.107706 , delta error  378.140036663 , grad norm  614.469439614
Step  1200 , error  154656.714061 , delta error  309.541630832 , grad norm  555.947163339
Step  1300 , error  126631.745085 , delta error  253.391592253 , grad norm  503.002459123
Step  1400 , error  103690.28689 , delta error  207.429614275 , grad norm  455.102693838
Step  1500 , error  84910.0178278 , delta error  169.806276452 , grad norm  411.766404961
Step  1600 , error  69536.0268128 , delta error  139.008179372 , grad norm  372.558289797
Step  1700 , error  56950.4025701 , delta error  113.796785757 , grad norm  337.084716322
Step  1800 , error  46647.3556679 , delta error  93.1584327896 , grad norm  304.989690793
Step  1900 , error  38212.8635831 , delta error  76.2634599399 , grad norm  275.951228928
