User and item bias, not global bias, ones-columns not ignored; same as if ignored
MAP	Std	k	reg_penalty
0.00160566070514	0.000453324654517	10	10
0.00346602539823	0.000173597621419	10	20
0.00369664584594	0.000273700208447	10	50
0.00392193583509	0.00032448253288	10	100
0.00393407212259	0.000300747259293	10	200
0.00393544556031	0.000299527234582	10	500
0.00392909184951	0.00028882739413	10	1000
0.001004951345		0.000627217851078	20	10
0.00325535707319	0.000160970720997	20	20
0.00382032634315	0.000220268303911	20	50
0.00404163673908	0.000131498700333	20	100
0.00404588632236	0.000129991281292	20	200
0.00394851531105	0.000262420217441	20	500
0.00394851531105	0.000262420217441	20	1000
0.00099485285356	9.41034282837e-05	50	10
0.00381951121901	0.000233864909691	50	20
0.00426853907778	0.000249257804136	50	50
0.00431562943528	0.0002008618773		50	100
0.0043183208952		0.000194482447994	50	200
0.00435455883982	0.000166762178083	50	500
0.00434846420996	0.000165078538336	50	1000
0.000779662634532	0.000300330326375	100	10
0.00346645791633	0.000106010924508	100	20
0.00377612945037	0.000217329822999	100	50
0.00385358695197	0.000153478947258	100	100
0.00386321913732	0.000163321122661	100	200
0.00380248970192	0.000203337720393	100	500
0.00380248970192	0.000203337720393	100	1000
0.00163897149893	0.000693011684106	150	10
0.00342066325494	0.00014012754702	150	20
0.00361677107945	0.000181463528935	150	50
0.00366355414212	0.000170075171943	150	100
0.00365526297691	0.000177212649881	150	200
0.00365089033584	0.000171100340515	150	500
0.00365089033584	0.000171100340515	150	1000
0.000971899391572	0.000148150680802	200	10
0.00326807970792	0.00044054235569	200	20
0.00366845063334	0.000280255474743	200	50
0.00369089658594	0.000282560407773	200	100
0.00370477772767	0.00027935662568	200	200
0.00370779613357	0.000280745402798	200	500
0.00370642851869	0.000282848882771	200	1000
