1485297755.17 :  Started fit
1485303769.46 :  Finished fit
1485303769.54 :  Started predict
Iteration:  1 / 10
Iteration:  2 / 10
Iteration:  3 / 10
Iteration:  4 / 10
Iteration:  5 / 10
Iteration:  6 / 10
Iteration:  7 / 10
Iteration:  8 / 10
Iteration:  9 / 10
Iteration:  10 / 10
1485303813.85 :  Finished predict
