1484940746.15 :  Started fit
1484944994.61 :  Finished fit
1484944995.05 :  Started predict
Iteration:  1 / 10
Iteration:  2 / 10
Iteration:  3 / 10
Iteration:  4 / 10
Iteration:  5 / 10
Iteration:  6 / 10
Iteration:  7 / 10
Iteration:  8 / 10
Iteration:  9 / 10
Iteration:  10 / 10
1484945040.92 :  Finished predict
